description,Protein,"Carbohydrate, by summation","Carbohydrate, by difference",Total lipid (fat)
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8 g,,0.0 g,6.39 g
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4 g,,0.0 g,2.48 g
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7 g,,0.0 g,2.41 g
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7 g,,0.0 g,5.32 g
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3 g,,0.0 g,11.4 g
"Carrots, frozen, unprepared",0.81 g,7.79 g,7.92 g,0.47 g
"Cheese, dry white, queso seco",24.5 g,,2.07 g,24.3 g
"Cheese, ricotta, whole milk",7.81 g,,6.86 g,11.0 g
"Cheese, swiss",27.0 g,,1.44 g,31.0 g
"Figs, dried, uncooked",3.3 g,62.8 g,63.9 g,0.92 g
"Lettuce, cos or romaine, raw",1.24 g,3.0 g,3.24 g,0.26 g
"Melons, cantaloupe, raw",0.82 g,8.69 g,8.16 g,0.18 g
"Oranges, raw, navels",0.91 g,10.6 g,11.8 g,0.15 g
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38 g,,5.18 g,0.95 g
"Pears, raw, bartlett",0.38 g,,15.1 g,0.16 g
"Restaurant, Chinese, sweet and sour pork",8.88 g,23.0 g,25.5 g,13.6 g
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43 g,,4.92 g,0.08 g
"Sauce, salsa, ready-to-serve",1.44 g,5.66 g,6.74 g,0.19 g
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.36 g,,4.9 g,1.9 g
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3 g,,3.37 g,28.7 g
"Sausage, Italian, pork, mild, cooked, pan-fried",18.2 g,,2.15 g,26.2 g
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3 g,,2.63 g,28.1 g
"Milk, whole, 3.25% milkfat, with added vitamin D",3.27 g,,4.63 g,3.2 g
"Sausage, turkey, breakfast links, mild, raw",16.7 g,,0.93 g,10.4 g
"Sugars, granulated",0.0 g,,99.6 g,0.32 g
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1 g,,0.0 g,11.6 g
"Ham, sliced, restaurant",19.6 g,,2.36 g,3.68 g
"Cheese, American, restaurant",17.5 g,,6.35 g,31.1 g
"Beans, Dry, Medium Red (0% moisture)",25.5 g,,,1.04 g
"Beans, Dry, Red (0% moisture)",21.3 g,,,1.16 g
"Beans, Dry, Flor de Mayo (0% moisture)",23.3 g,,,0.86 g
"Beans, Dry, Brown (0% moisture)",25.6 g,,,1.12 g
"Beans, Dry, Tan (0% moisture)",26.8 g,,,1.14 g
"Beans, Dry, Light Tan (0% moisture)",24.6 g,,,1.28 g
"Beans, Dry, Carioca (0% moisture)",25.2 g,,,1.44 g
"Beans, Dry, Cranberry (0% moisture)",24.4 g,,,1.23 g
"Beans, Dry, Light Red Kidney (0% moisture)",25.0 g,,,1.03 g
"Beans, Dry, Pink (0% moisture)",23.4 g,,,1.2 g
"Beans, Dry, Dark Red Kidney (0% moisture)",25.9 g,,,1.31 g
"Beans, Dry, Navy (0% moisture)",24.1 g,,,1.51 g
"Beans, Dry, Small White (0% moisture)",24.5 g,,,1.32 g
"Beans, Dry, Small Red (0% moisture)",23.5 g,,,1.28 g
"Beans, Dry, Black (0% moisture)",24.4 g,,,1.45 g
"Beans, Dry, Pinto (0% moisture)",23.7 g,,,1.24 g
"Beans, Dry, Great Northern (0% moisture)",24.7 g,,,1.24 g
"Broccoli, raw",2.57 g,3.8 g,6.27 g,0.34 g
"Ketchup, restaurant",1.11 g,,26.8 g,0.55 g
"Eggs, Grade A, Large, egg white",10.7 g,,2.36 g,0.0 g
"Eggs, Grade A, Large, egg yolk",16.2 g,,1.02 g,28.8 g
"Eggs, Grade A, Large, egg whole",12.4 g,0.2 g,0.96 g,9.96 g
"Pork, cured, bacon, cooked, restaurant",40.9 g,,2.1 g,36.5 g
"Butter, stick, unsalted",,,,81.5 g
"Flour, wheat, all-purpose, enriched, bleached",10.9 g,,77.3 g,1.48 g
"Flour, wheat, all-purpose, enriched, unbleached",13.1 g,,73.2 g,1.48 g
"Flour, wheat, all-purpose, unenriched, unbleached",12.0 g,,74.6 g,1.7 g
"Flour, whole wheat, unenriched",15.1 g,,71.2 g,2.73 g
"Flour, bread, white, enriched, unbleached",14.3 g,,72.8 g,1.65 g
"Flour, rice, white, unenriched",6.94 g,,79.8 g,1.3 g
"Flour, corn, yellow, fine meal, enriched",6.2 g,,80.8 g,1.74 g
"Butter, stick, salted",,,,82.2 g
"Onions, red, raw",0.94 g,,9.93 g,0.1 g
"Onions, yellow, raw",0.83 g,,8.61 g,0.05 g
"Garlic, raw",6.62 g,,28.2 g,0.38 g
"Flour, soy, defatted",51.1 g,,32.9 g,3.33 g
"Flour, soy, full-fat",38.6 g,,27.9 g,20.7 g
"Flour, rice, brown",7.19 g,,75.5 g,3.85 g
"Flour, rice, glutinous",6.69 g,,80.1 g,1.16 g
"Flour, pastry, unenriched, unbleached",8.75 g,,77.2 g,1.64 g
"Onions, white, raw",0.89 g,,7.68 g,0.13 g
"Bananas, overripe, raw",0.73 g,18.0 g,20.1 g,0.22 g
"Bananas, ripe and slightly ripe, raw",0.74 g,21.2 g,23.0 g,0.29 g
"Apples, red delicious, with skin, raw",0.188 g,14.3 g,14.8 g,0.212 g
"Apples, fuji, with skin, raw",0.148 g,15.4 g,15.7 g,0.162 g
"Apples, gala, with skin, raw",0.133 g,13.9 g,14.8 g,0.15 g
"Apples, granny smith, with skin, raw",0.266 g,13.2 g,14.1 g,0.138 g
"Apples, honeycrisp, with skin, raw",0.102 g,14.1 g,14.7 g,0.1 g
"Mushroom, lion's mane",2.5 g,,7.59 g,0.256 g
"Mushroom, oyster",2.9 g,,6.94 g,0.188 g
"Mushrooms, shiitake",2.41 g,,8.17 g,0.195 g
"Mushrooms, white button",2.89 g,,4.08 g,0.371 g
"Soy milk, unsweetened, plain, shelf stable",3.55 g,,1.29 g,2.12 g
"Almond milk, unsweetened, plain, shelf stable",0.555 g,,0.337 g,1.22 g
"Spinach, baby",2.85 g,1.56 g,2.41 g,0.619 g
"Spinach, mature",2.91 g,,2.64 g,0.604 g
"Tomato, roma",0.696 g,,3.84 g,0.425 g
"Flour, 00",11.4 g,,74.4 g,1.52 g
"Flour, spelt, whole grain",14.5 g,,70.7 g,2.54 g
"Flour, semolina, coarse and semi-coarse",11.7 g,,73.8 g,1.6 g
"Flour, semolina, fine",13.3 g,,72.0 g,1.84 g
"Apple juice, with added vitamin C, from concentrate, shelf stable",0.086 g,,11.4 g,0.286 g
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.734 g,,10.3 g,0.325 g
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.258 g,,15.6 g,0.288 g
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.094 g,,15.8 g,0.265 g
"Cranberry juice, not fortified, from concentrate, shelf stable",0.0 g,,7.26 g,0.338 g
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.57 g,,9.1 g,0.267 g
"Tomato juice, with added ingredients, from concentrate, shelf stable",0.859 g,,4.32 g,0.288 g
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.812 g,,10.0 g,0.356 g
"Mushroom, portabella",2.75 g,,4.66 g,0.312 g
"Mushroom, king oyster",2.41 g,,8.5 g,0.308 g
"Mushroom, enoki",2.42 g,,8.14 g,0.245 g
"Mushroom, crimini",3.09 g,,4.01 g,0.197 g
"Mushroom, maitake",2.2 g,,6.6 g,0.265 g
"Mushroom, beech",2.18 g,,6.76 g,0.449 g
"Mushroom, pioppini",3.5 g,,5.76 g,0.24 g
"Soy milk, sweetened, plain, refrigerated",2.78 g,,3.0 g,1.96 g
"Almond milk, unsweetened, plain, refrigerated",0.656 g,,0.671 g,1.56 g
"Oat milk, unsweetened, plain, refrigerated",0.797 g,,5.1 g,2.75 g
"Carrots, mature, raw",0.941 g,,10.3 g,0.351 g
"Carrots, baby, raw",0.805 g,,9.08 g,0.138 g
"Peppers, bell, green, raw",0.715 g,,4.78 g,0.106 g
"Peppers, bell, yellow, raw",0.819 g,,6.6 g,0.121 g
"Peppers, bell, red, raw",0.896 g,,6.65 g,0.126 g
"Peppers, bell, orange, raw",0.882 g,,6.7 g,0.156 g
"Buttermilk, low fat",3.46 g,,4.81 g,1.08 g
"Yogurt, plain, whole milk",3.82 g,,5.57 g,4.48 g
"Yogurt, Greek, plain, whole milk",8.78 g,,4.75 g,4.39 g
"Cheese, parmesan, grated, refrigerated",30.1 g,,4.33 g,29.5 g
"Cheese, feta, whole milk, crumbled",19.7 g,,5.58 g,19.1 g
"Flour, almond",26.2 g,,16.2 g,50.2 g
"Flour, oat, whole grain",13.2 g,,69.9 g,6.31 g
"Flour, potato",8.11 g,,79.9 g,0.951 g
"Peanut butter, creamy",24.0 g,,22.7 g,49.4 g
"Sesame butter, creamy",19.7 g,,14.2 g,62.4 g
"Almond butter, creamy",20.8 g,,21.2 g,53.0 g
"Flaxseed, ground",18.0 g,,34.4 g,37.3 g
"Cottage cheese, full fat, large or small curd",11.6 g,,4.6 g,4.22 g
"Cream cheese, full fat, block",5.79 g,,4.56 g,33.5 g
"Cream, heavy",2.02 g,,3.8 g,35.6 g
"Cream, sour, full fat",3.07 g,,5.56 g,18.0 g
"Lettuce, iceberg, raw",0.742 g,,3.37 g,0.074 g
"Lettuce, romaine, green, raw",0.977 g,,4.06 g,0.071 g
"Lettuce, leaf, red, raw",0.883 g,,3.26 g,0.106 g
"Lettuce, leaf, green, raw",1.09 g,,4.07 g,0.156 g
"Nuts, pine nuts, raw",15.7 g,,18.6 g,61.3 g
"Nuts, almonds, whole, raw",21.5 g,,20.0 g,51.1 g
"Nuts, walnuts, English, halves, raw",14.6 g,,10.9 g,69.7 g
"Nuts, pecans, halves, raw",9.96 g,,12.7 g,73.3 g
"Oats, whole grain, rolled, old fashioned",13.5 g,,68.7 g,5.89 g
"Oats, whole grain, steel cut",12.5 g,,69.8 g,5.8 g
"Pineapple, raw",0.461 g,,14.1 g,0.211 g
"Cherries, sweet, dark red, raw",1.04 g,,16.2 g,0.192 g
"Beans, snap, green, raw",1.97 g,,7.41 g,0.275 g
"Potatoes, russet, without skin, raw",2.27 g,,17.8 g,0.36 g
"Potatoes, red, without skin, raw",2.06 g,,16.3 g,0.248 g
"Potatoes, gold, without skin, raw",1.81 g,,16.0 g,0.264 g
"Sweet potatoes, orange flesh, without skin, raw",1.58 g,,17.3 g,0.375 g
"Celery, raw",0.492 g,,3.32 g,0.162 g
"Cucumber, with peel, raw",0.625 g,,2.95 g,0.178 g
"Cabbage, green, raw",0.961 g,,6.38 g,0.228 g
"Cabbage, red, raw",1.24 g,,6.79 g,0.214 g
"Strawberries, raw",0.641 g,,7.96 g,0.22 g
"Raspberries, raw",1.01 g,,12.9 g,0.188 g
"Blueberries, raw",0.703 g,,14.6 g,0.306 g
"Grapes, red, seedless, raw",0.914 g,,20.2 g,0.164 g
"Grapes, green, seedless, raw",0.899 g,,18.6 g,0.232 g
"Applesauce, unsweetened, with added vitamin C",0.273 g,,12.3 g,0.162 g
"Flour, amaranth",13.2 g,,68.8 g,6.24 g
"Flour, quinoa",11.9 g,,69.5 g,6.6 g
"Flour, sorghum",8.27 g,,77.4 g,3.59 g
"Flour, buckwheat",8.88 g,,75.0 g,2.48 g
"Flour, rye",8.4 g,,77.2 g,1.91 g
"Flour, barley",8.72 g,,77.4 g,2.45 g
"Flour, cassava",0.918 g,,87.3 g,0.494 g
"Buckwheat, whole grain",11.1 g,,71.1 g,3.04 g
"Millet, whole grain",10.0 g,,74.4 g,4.19 g
"Rice, brown, long grain, unenriched, raw",7.25 g,,76.7 g,3.31 g
"Rice, white, long grain, unenriched, raw",7.04 g,,80.3 g,1.03 g
"Beef, ground, 90% lean meat / 10% fat, raw",18.2 g,,0.0 g,12.8 g
"Beef, ground, 80% lean meat / 20% fat, raw",17.5 g,,0.0 g,19.4 g
"Pork, ground, raw",17.8 g,,0.0 g,17.5 g
"Chicken, ground, with additives, raw",17.9 g,,0.0 g,7.16 g
"Turkey, ground, 93% lean/ 7% fat, raw",17.3 g,,0.0 g,9.59 g
"Nuts, brazilnuts, raw",15.0 g,,21.6 g,57.4 g
"Nuts, cashew nuts, raw",17.4 g,,36.3 g,38.9 g
"Nuts, hazelnuts or filberts, raw",13.5 g,,26.5 g,53.5 g
"Peanuts, raw",23.2 g,,26.5 g,43.3 g
"Flour, chestnut",5.29 g,,80.5 g,4.64 g
"Nuts, macadamia nuts, raw",7.79 g,,24.1 g,64.9 g
"Nuts, pistachio nuts, raw",20.5 g,,27.7 g,45.0 g
"Seeds, pumpkin seeds (pepitas), raw",29.9 g,,18.7 g,40.0 g
"Seeds, sunflower seed, kernel, raw",18.9 g,,24.5 g,48.4 g
"Flour, coconut",16.1 g,,58.9 g,15.3 g
"Beans, cannellini, dry",21.6 g,,59.8 g,2.2 g
"Chickpeas, (garbanzo beans, bengal gram), dry",21.3 g,,60.4 g,6.27 g
"Lentils, dry",23.6 g,,62.2 g,1.92 g
"Blackeye pea, dry",21.2 g,,61.8 g,2.42 g
"Beans, black, canned, sodium added, drained and rinsed",6.91 g,,19.8 g,1.27 g
"Beans, navy, canned, sodium added, drained and rinsed",6.57 g,,20.0 g,1.4 g
"Beans, cannellini, canned, sodium added, drained and rinsed",7.41 g,,18.8 g,1.17 g
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",7.02 g,,20.3 g,3.1 g
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",7.8 g,,21.0 g,1.26 g
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",7.31 g,,21.4 g,1.3 g
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",4.73 g,,12.7 g,1.15 g
"Beans, pinto, canned, sodium added, drained and rinsed",6.69 g,,19.6 g,1.27 g
"Blackeye pea, canned, sodium added, drained and rinsed",6.92 g,,19.2 g,1.3 g
"Beans, great northern, canned, sodium added, drained and rinsed",7.03 g,,19.3 g,1.27 g
"Pork, loin, boneless, raw",21.1 g,,0.0 g,9.47 g
"Pork, loin, tenderloin, boneless, raw",21.6 g,,0.0 g,3.9 g
"Chicken, breast, boneless, skinless, raw",22.5 g,,0.0 g,1.93 g
"Chicken, thigh, boneless, skinless, raw",18.6 g,,0.0 g,7.92 g
"Beef, ribeye, steak, boneless, choice, raw",18.7 g,,0.0 g,20.0 g
"Beef, round, top round, boneless, choice, raw",21.5 g,,0.852 g,5.7 g
"Beef, chuck, roast, boneless, choice, raw",18.4 g,,0.0 g,17.8 g
"Beef, flank, steak, boneless, choice, raw",20.1 g,,0.0 g,9.4 g
"Yogurt, plain, nonfat",4.23 g,,8.08 g,0.087 g
"Cheese, monterey jack, solid",22.6 g,,1.9 g,32.6 g
"Cheese, pasteurized process cheese food or product, American, singles",15.6 g,,8.19 g,23.9 g
"Cheese, provolone, sliced",23.5 g,,2.45 g,28.1 g
"Cheese, oaxaca, solid",22.1 g,,2.4 g,22.1 g
"Cheese, queso fresco, solid",18.9 g,,2.96 g,23.4 g
"Cheese, cotija, solid",23.8 g,,2.72 g,27.2 g
"Fish, salmon, sockeye, wild caught, raw",22.3 g,,0.0 g,4.94 g
"Fish, salmon, Atlantic, farm raised, raw",20.3 g,,0.0 g,13.1 g
"Fish, tilapia, farm raised, raw",19.0 g,,0.0 g,2.48 g
"Crustaceans, shrimp, farm raised, raw",15.6 g,,0.485 g,0.801 g
"Fish, cod, Atlantic, wild caught, raw",16.1 g,,0.0 g,0.668 g
"Fish, catfish, farm raised, raw",16.5 g,,0.0 g,7.31 g
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",18.6 g,,0.0 g,0.808 g
"Squash, summer, green, zucchini, includes skin, raw",0.984 g,,3.27 g,0.205 g
"Squash, summer, yellow, includes skin, raw",0.891 g,,4.39 g,0.135 g
"Squash, winter, butternut, raw",1.15 g,,10.5 g,0.168 g
"Squash, winter, acorn, raw",1.25 g,,10.5 g,0.182 g
"Cabbage, bok choy, raw",1.02 g,,3.51 g,0.234 g
"Cauliflower, raw",1.64 g,,4.72 g,0.238 g
"Collards, raw",2.97 g,,7.02 g,0.77 g
"Brussels sprouts, raw",3.98 g,,9.62 g,0.565 g
"Beets, raw",1.69 g,,8.79 g,0.302 g
"Eggplant, raw",0.852 g,,5.4 g,0.12 g
"Tomatoes, whole, canned, solids and liquids, with salt added",0.868 g,,4.29 g,0.206 g
"Tomato, sauce, canned, with salt added",1.35 g,,6.33 g,0.382 g
"Tomato, paste, canned, without salt added",4.23 g,,20.2 g,0.732 g
"Tomatoes, crushed, canned",1.44 g,,7.14 g,0.398 g
"Tomato, puree, canned",1.58 g,,8.04 g,0.265 g
"Apricot, with skin, raw",0.961 g,,10.2 g,0.405 g
"Melons, honeydew, raw",0.531 g,,8.15 g,0.216 g
"Plantains, ripe, raw",1.16 g,,31.0 g,0.893 g
"Plantains, underripe, raw",1.23 g,,33.6 g,0.685 g
"Chia seeds, dry, raw",17.0 g,,38.3 g,32.9 g
"Bulgur, dry, raw",11.8 g,,75.9 g,2.42 g
"Wild rice, dry, raw",12.8 g,,75.7 g,1.7 g
"Arugula, baby, raw",1.65 g,,5.37 g,0.325 g
"Asparagus, green, raw",1.44 g,,5.1 g,0.216 g
"Avocado, Hass, peeled, raw",1.81 g,,8.32 g,20.3 g
"Rice, black, unenriched, raw",7.57 g,,77.2 g,3.44 g
"Corn, sweet, yellow and white kernels,  fresh, raw",2.79 g,,14.7 g,1.63 g
"Einkorn, grain, dry, raw",15.1 g,,68.7 g,3.81 g
"Farro, pearled, dry, raw",12.6 g,,72.1 g,3.1 g
"Fonio, grain, dry, raw",7.17 g,,81.3 g,1.69 g
"Khorasan, grain, dry, raw",14.8 g,,71.8 g,2.8 g
"Kiwifruit (kiwi), green, peeled, raw",1.01 g,,13.8 g,0.64 g
"Mandarin, seedless, peeled, raw",1.04 g,,13.4 g,0.458 g
"Mango, Tommy Atkins, peeled, raw",0.562 g,,15.3 g,0.572 g
"Mango, Ataulfo, peeled, raw",0.688 g,,17.4 g,0.681 g
"Corn flour, masa harina, white or yellow, dry, raw",7.56 g,,76.7 g,4.34 g
"Pear, Anjou, green, with skin, raw",0.312 g,,14.8 g,0.371 g
"Plum, black, with skin, raw",0.578 g,,13.5 g,0.282 g
"Rice, red, unenriched, dry, raw",8.56 g,,76.2 g,3.44 g
"Sorghum bran, white, unenriched, dry, raw",11.2 g,,68.7 g,9.26 g
"Sorghum flour, white, pearled, unenriched, dry, raw",10.2 g,,73.5 g,3.24 g
"Sorghum grain, white, pearled, unenriched, dry, raw",10.2 g,,74.9 g,3.26 g
"Sorghum, whole grain, white, dry, raw",10.1 g,,73.6 g,4.22 g
"Plantains, overripe, raw",1.17 g,,29.2 g,0.99 g
"Chicken, drumstick, meat and skin, raw",18.4 g,,-0.475 g,5.94 g
"Chicken, thigh, meat and skin, raw",17.1 g,,-0.173 g,13.4 g
"Chicken, wing, meat and skin, raw",18.4 g,,-0.459 g,10.6 g
"Chicken, breast, meat and skin, raw",21.4 g,,-0.428 g,4.78 g
"Lamb, ground, raw",17.5 g,,-0.251 g,18.6 g
"Bison, ground, raw",19.9 g,,-0.15 g,8.88 g
"Beef, short loin (NY strip steak), raw",21.3 g,,0.221 g,11.5 g
"Beef, tenderloin steak, raw",21.1 g,,0.18 g,6.46 g
"Beef, top sirloin steak, raw",22.0 g,,0.218 g,5.71 g
"Pork, chop, center cut, raw",22.8 g,,-0.562 g,5.48 g
"Pork, belly, with skin, raw",15.2 g,,-0.705 g,35.8 g
"Pawpaw, peeled, seeded, raw",1.15 g,,,
"Squash, pie pumpkin, peeled, seeded, raw",0.854 g,,,
"Squash, spaghetti, peeled, seeded, raw",0.792 g,,,
"Rutabaga, peeled, raw",0.888 g,,,
"Blackberries, raw",1.53 g,,,
"Tomatillos, dehusked, raw",1.06 g,,,
"Cabbage, napa, leaf, destemmed, raw",1.06 g,,,
"Leeks, bulb and greens, root removed, raw",1.47 g,,,
"Green onion, (scallion), bulb and greens, root removed, raw",0.669 g,,,
"Shallots, bulb, peeled, root removed, raw",1.38 g,,,
"Juice, prune, shelf-stable",0.423 g,,,
"Juice, pomegranate, from concentrate, shelf-stable",0.0 g,,,
"Juice, tart cherry, from concentrate, shelf-stable",0.147 g,,,
